Tweet,GT Target,GT Stance,Mapped Target
"How do they come up with this insanity? Oh wait, they believe in a Sky-God.  #fyilive, #SemST",Atheism,FAVOR,Atheism
@Jaikrishnashree #italianchachi420 UDF/LDF made #Kerala the most backward southern state & cluelss #Hindus keep voting #marxism #SemST,Atheism,NONE,Atheism
"Surely the Sovereign LORD does nothing without revealing his plan to his servants the prophets"" #Amos3v7 #SemST",Atheism,AGAINST,Atheism
Loving who I am! Today was awesome because I enjoyed being me. Can't nobody steal my joy! #selflove #motivated by #SemST,Atheism,NONE,Atheism
Proverbs 28:5 (KJV) Evil men understand not judgment: but they that seek the Lord understand all things. #heart #SemST,Atheism,AGAINST,Atheism
"As always, please remember: fuck Harper, fuck conservatives , fuck religion #fuckharper #NDP  #fuckcons #SemST",Atheism,FAVOR,Atheism
My prayer is that you live as long as you want and not want as long as you live. #longlife #SemST,Atheism,AGAINST,Atheism
"I believe that ""sacred"" is an ap term to describe existence #celebrant #SemST",Atheism,AGAINST,Atheism
Man this is going to test me..  Giving all my prayers and questions to The Lord and Savior Jesus Christ.. He will guide me! #hope #SemST,Atheism,AGAINST,Atheism
We'd like to welcome Lucy Dee to the Atheist Apocalypse team!   May God have mercy on your soul!   #God #mercy #podcast #SemST,Atheism,AGAINST,Atheism
Life certainly has a way of humbling you. This last year and a half has been filled with trials and tribulations. But God! #patience #SemST,Atheism,AGAINST,Atheism
Check out Honest Liar on Netflix. James Randi is amazing. #skeptic #SemST,Atheism,NONE,Atheism
The experience of most LGBT people shows them that organised religion is often nothing but structured bullying. #SemST,Atheism,FAVOR,Atheism
"Just a reminder that humans do not need salvation. We need clean water, food, housing, healthcare, and education. #SemST",Atheism,FAVOR,Atheism
"Jesus is not dead , he wasn't real !notdead #SemST",Atheism,FAVOR,Atheism
@FoxNews @Patriot_Girl_TX @toddstarnes Shame on @OregonGovBrown for not stepping in to rescind this ruling! #Disgusting #Wrong #SemST,Atheism,NONE,Feminist Movement
@SenSanders there's God. Loving each other unconditionally is what matters. #SemST,Atheism,AGAINST,Atheism
I think my username would be cool but now it looks stupid. #SemST,Atheism,NONE,Feminist Movement
@SaberinZe @TheBricsPost absurd like saying #nato membership will help #Russia #Pakistan is #islamist can't be friend of #india #SemST,Atheism,NONE,Feminist Movement
"Lord, bring health and a cure to every area of my life, and give me the abundance of peace -Jer. 33:6 #SemST",Atheism,AGAINST,Atheism
"This is love: not that we loved God, but that he loved us and sent his Son as an atoning sacrifice for our sins. 1 John 4:10 #love #SemST",Atheism,AGAINST,Atheism
#IslamicScholars have to re-think and to do research on this single but vital point. #Pakistan #Islam #HolyQuran #Hadith #SemST,Atheism,AGAINST,Atheism
"RT @PaulGetter: When your past calls, don't answer. It has nothing new to say. #TeamJesus #SemST",Atheism,AGAINST,Atheism
Bless those with a broken soul #SemST,Atheism,AGAINST,Atheism
"After Hindu girls #Sheila #Munni and Muslim #Razia, it's time for Christian #Mary in the item song world. #Bollywood #SemST",Atheism,AGAINST,Feminist Movement
"..    "" ""So decree whatever thou desirest to decree for thou canst only decree the life of this world #SemST",Atheism,AGAINST,abortion
The enemy is not #Muslims #Christians or #Judaism. The real enemy is EXTREMISM.  Humans killing humans. #RespectBeliefs #StopWar #SemST,Atheism,AGAINST,Atheism
John 10:11 I am the good shepherd; the good shepherd lays down His life for the sheep. #God #Christ #Hallelujah #Amen #SemST,Atheism,AGAINST,Atheism
Its really incredible how much this world needs the work of missionaries! #futuremissionary #lds #hope #shallnotfear #SemST,Atheism,AGAINST,Atheism
"Luke 11:5-9, 18:1-8 ""Oh Lord, avenge me of my adversary..."" #PstPeterock #EmpowermentService #SemST",Atheism,AGAINST,Atheism
"God is good all of the time. All of the time, God is good! #YHWH #Yeshua #God #SemST",Atheism,AGAINST,Atheism
"IF GOD BROUGHT YOU TO IT , HE'LL BRING YOU THROUGH IT. #GODKNOWS #WHATHEDOING #BEPATIENT #TRUSTANDBELIEVE #SemST",Atheism,AGAINST,Atheism
That scriptures Aunt just sent me was clutch!!!!  #SemST,Atheism,AGAINST,Atheism
Before I proceed in any direction...Prayer has to lead me ..follow that and you can't fail  #startup  #ThinkandgrowRich #SemST,Atheism,AGAINST,Atheism
"The people who walk in darkness Will see a great light; Those who live in a dark land, The light will shine on them. Isaiah 9:2 #SemST",Atheism,AGAINST,Atheism
sing unto the LORD; for he hath done excellent things: this is known in all the earth - Isaiah 12:5 #blessings #SemST,Atheism,AGAINST,Atheism
"A gift from God, live your day responsibly and without regrets.     #amwriting #parenting #amreading #Christianity #sports #SemST",Atheism,AGAINST,Atheism
Azerbaijan: Pray for President Ilham Aliyev's salvation. #vom #pray #SemST,Atheism,AGAINST,Atheism
The #Church is a hospital but the doctor is one: #Christ!! #SemST,Atheism,AGAINST,Atheism
"@Ageoftheatheist ~ ""Age of the #Atheist"" where life has no purpose & no hope! #SemST",Atheism,AGAINST,Atheism
Give us the gifts and graces to be your vessels. Amen #SemST,Atheism,AGAINST,Atheism
"In the big picture, religion is bad for society because it blunts reason.   #freethinker #SemST",Atheism,FAVOR,Atheism
when you get distinctions for half your modules but started studying the day before for each because of shoots. Thank You Father!!! #SemST,Atheism,NONE,Atheism
Religion has destroyed the ability for some to say know.   #SemST,Atheism,FAVOR,Atheism
I pray for the best for everybody!!! #SemST,Atheism,AGAINST,Atheism
"@Brasilmagic @neiltyson there's no god 2b tired of, just tired o ppl believing in such nonsense. Time 2 focus on reality, HUMANITY #SemST",Atheism,FAVOR,Atheism
There are dreams and desires that #God has placed in your heartthey are a part of your divine destiny. #SemST,Atheism,AGAINST,Atheism
@MuhammadAli except for your belief in Allah. Gods are imaginary. Love and humanity are real. I love you. Be well and take care. #SemST,Atheism,FAVOR,Atheism
"AtheistQ ""God's guidance is the only excuse for a man who can't find a better justification for his actions. #SemST",Atheism,FAVOR,Atheism
2 pretty sisters are dancing with cancered kid   #SemST,Atheism,NONE,abortion
You and I are part and parcel of everything else. Embrace this. #spirituality #SemST,Atheism,AGAINST,Atheism
"All that is needed for God for something to happen is to say ""#Be"" and it is; for God is capable of all things. #God created #trinity #SemST",Atheism,AGAINST,Atheism
Ya....cuz Nicky Hilton HAD to marry up? Really? You had to land a bloody Rothschild too?? #SemST,Atheism,NONE,Feminist Movement
"8 Holy Mary Mother of God, pray for us sinners now and at the hour of our death. Amen. #rosary #teamjesus #God #SemST",Atheism,AGAINST,Atheism
"Heap mischief upon them, and spend Your arrows upon them -Deut. 32:23 #SemST",Atheism,AGAINST,Atheism
"God is good all the time, all the time God is good #unconditionallove #SemST",Atheism,AGAINST,Atheism
Should we take the #DNA at birth of every human being on Earth? #science #economics #SemST,Atheism,NONE,abortion
Shit just don't stop but 1 thing I will not question God #SemST,Atheism,AGAINST,Atheism
1of 2 #Never be #afraid to and never #apologise for using the #word of #GOD as #analogies to #explain something in a #setting! #SemST,Atheism,AGAINST,Atheism
How soon do you think WWIII &WWWIV will begin? #U9tedWeStand #EndRacism #EndReligion #EndSexism #EndMisogyny #LoveYourNeighbor #SemST,Atheism,FAVOR,Atheism
"The humble trust in God: 'Whoever leans on, trusts in, and is confident in the Lord  happy, blessed, and fortunate is he' #SemST",Atheism,AGAINST,Atheism
Where will you be when @NewHorizons2015 flies by Pluto? #NewHorizons #PlutoFlyby #Pluto #EndRacism #EndSexism #EndReligion #Peace #SemST,Atheism,FAVOR,Atheism
No one can out woo God in the woo department - Claudia May  #godisloveislove #blacklives #SemST,Atheism,AGAINST,abortion
Feminists can TOTALLY wear makeup and don't tell me otherwise. #choices #SemST,Feminist Movement,AGAINST,Feminist Movement
"I searched for posts with ""feminist"" tag and saw how much hatred is against feminism. #misogyny #tumblr #hatred #sadness #tears #SemST",Feminist Movement,AGAINST,Feminist Movement
I saw a little girl wearing a mustache from the vending machine. #equality #SemST,Feminist Movement,AGAINST,Feminist Movement
"Women are taught to put their values into their hymens, rather than their intelligence, accomplishments, goals or character #SemST",Feminist Movement,AGAINST,Feminist Movement
"If u link anti feminism with misogyny or inequality-lover, please dont reproduce! The world have enough imbeciles . #SemST",Feminist Movement,AGAINST,Feminist Movement
Many feminist sexualise and objectify men and yet they insult men who does it calling them pervert #SemST,Feminist Movement,AGAINST,Feminist Movement
Let us thank the likes of @thunderf00t and @Sargon_of_Akkad for exposing the complete idiocy of modern feminism. #SemST,Feminist Movement,AGAINST,Feminist Movement
@kdeleon how many were young women? Were there any black young women? #SemST,Feminist Movement,AGAINST,Feminist Movement
Feel things will truly be equal in marriage when I see jock strap tossed to the 'single women' a weddings alongside the garter #SemST,Feminist Movement,AGAINST,Feminist Movement
A wOMAN?? Wanting to be EQUAL to a MAN???!?! What monstrosity is this?!??!!!? #SemST,Feminist Movement,AGAINST,Feminist Movement
sometiimes you just feel like punching a feminist in the face #SemST,Feminist Movement,AGAINST,Feminist Movement
One thing I learned from my job: doors to opportunity cover fee that only the privileged can afford. #privilege #truth #SemST,Feminist Movement,AGAINST,Feminist Movement
1 thing I learned from my job: doors leading 2 opportunity have a cover fee only the #privileged can afford #sadtruth #SemST,Feminist Movement,AGAINST,Feminist Movement
