Tweet,GT Target,GT Stance,Mapped Target,Generated Targets,Best Gen Target
Happy Independence Day to America and her beautiful constitution #IndependenceDay #USA #SemST,Atheism,AGAINST,abortion,"['independence', 'constitution', 'constitutive system', 'digital divide', 'digital rights management', 'digital library', 'digital signature', 'digital identity management', 'electronic signature', 'electrocardiogram', 'digital government', 'digital democracy']",constitution
Let my house be built by wisdom and become strong through good sense -Prov. 24:3 #SemST,Atheism,AGAINST,cloning,"['wisdom', 'good sense', 'ethics', 'theory']",wisdom
"These days, the cool kids are atheists.  #freethinker #SemST",Atheism,AGAINST,cloning,"['aesthetics', 'religion', 'theory']",aesthetics
"Next time you hear someone say that our Founding Fathers intended a ""Christian Nation,"" show 'em those quotes. #SemST",Atheism,AGAINST,nuclear energy,"['christian nationalism', 'christianism', 'theory']",christian nationalism
#ILoveIslamBecause and v should love Islam because its a Deen instead of just a #SemST,Atheism,AGAINST,Atheism,"['Islam', 'deen', 'sem', 'saudi', 'sadi', 'sabpel', 'saham', 'slam', 'saram', 'hadi', 'hijab', 'hajj', 'hdi', 'hri', 'hmm']",sadi
"Be a sinner and sin strongly, but more strongly have faith and rejoice in Christ. ~ Martin Luther #SemST",Atheism,AGAINST,marijuana legalization,"['sinner and sin', 'faith', 'christ', 'martyr', 'stretch', 'stigma', 'stigmergy', 'stigm', 'stochastic model']",stigmergy
#God > My fears God > My insecurities God > My worry God > My everything #SemST,Atheism,AGAINST,fauci,"['insecurities', 'trust', 'trustworthiness']",trustworthiness
"Mary, Queen of martyrs, pray for us. #Catholic #SemST",Atheism,AGAINST,Bernie Sanders,"['marty', ""marty's"", 'prayer', 'cscw', 'cdi', 'cld', 'cfi', 'cidc', 'crd', 'cdic', 'cst', 'c.', 'c..', 'c #', 'c']",marty's
"America, like all of us, has both beauty and brutality coursing through its blood. #4thofjuly #spirituality #SemST",Atheism,AGAINST,nuclear energy,"['beauty', 'brutality', 'spirituality', 'spiritual design', 'spirit of agency', 'spiritually inspired design', 'critical design', 'user experience', 'user centered design']",critical design
"Every life is a profession of faith, and exercises an inevitable and silent influence. ~Henri Frederic Amiel #SemST",Atheism,AGAINST,Atheism,"['faith', 'practice']",faith
I am Baloch and I will not allow Talibanization in Balochistan ... #Taliban #Extremism #SemST,Atheism,AGAINST,stay at home orders,"['Taliban', 'balochistan', 'Taliban Extremism', 'stst', 'bdi', 'bihb', 'bahti', 'buhl', 'bhb', 'wadi', 'bhatti', 'baghti', 'wilabi', 'b']",balochistan
He became a slave to the cross that men could go free! #SemST,Atheism,AGAINST,gun control,"['slave', 'cross']",slave
Exo.20.13-15 - ...Do not commit murder...DO NOT COMMIT ADULTERY...Do not steal. #SemST,Atheism,AGAINST,marijuana legalization,"['crime', 'security', 'cybercrime', 'cyberspace', 'cyborg', 'cybergis', 'cybermanis', 'mafia', 'cyberncrime', 'mash-ups', 'cybcr', 'cyft', 'cygcr']",cyborg
"Phew! Am glad we came to our senses and worship a 2,000 year old carpenter. - Bart Simpson #jokes #SemST",Atheism,AGAINST,school uniforms,"['bart Simpson jokes', 'bart humor', 'computational humor', 'cave humor', 'artificial intelligence', 'articulation', 'artifact humor', 'computer science education', 'artistic humor', 'science fiction', 'art and humor']",computer science education
"Exo.28.12 - ...So that I, the Lord, will always remember... #SemST",Atheism,AGAINST,nuclear energy,"['so that the Lord will always remember', 'sem', 'structure', 'memory']",structure
"#JaganNathAzad, a #Hindu, was asked by founder of #Pakistan to write the first National Anthem. #SemST",Atheism,AGAINST,Bernie Sanders,"['national Anthem', 'hindu nationalism', 'hajj']",hindu nationalism
"Father, grant us grace to remain holy and a vessel of honour in ur house. #OpenHeaven #NatiVarietySunday #SundayMorningShow #SemST",Atheism,AGAINST,nuclear energy,"['holy', 'filtering', 'celebrity', 'celecelebration', 'celeration', 'intergenerational', 'interaction', 'media']",intergenerational
"Who cares if this person or that person is xtian or atheist. Polpott, hitler or mao.   God still does not exist.   #SemST",Atheism,AGAINST,cloning,"['astronomy', 'theory', 'theology', 'theoretical foundations of religion']",theoretical foundations of religion
I still remember the days when I prayed God for strength.. then suddenly God gave me difficulties to make me strong. Thank you God! #SemST,Atheism,AGAINST,marijuana legalization,"['strength', 'communication']",communication
You'll never know how much God can do in your life until you ask.  #lifechangingJourneywithJesus #SemST,Atheism,AGAINST,cloning,"['lifechanging', 'journeywithJesus', 'stretch', 'stewardship', 'bdi', 'bucharts', 'bcharts', 'cscw', 'bpm', 'bcmc', 'bmmc', 'cmmc']",lifechanging
Jesus response to a religious environment  was to create a royal environment.  It drove people nuts. Still does - thank God #SemST,Atheism,AGAINST,nuclear energy,"['religious environment', 'royal environment']",religious environment
Sanctify them through Thy Truth: Thy Word is Truth   John 17:17 KJV  #SemST,Atheism,AGAINST,death penalty,"['sanctify them', 'truth', 'theory', 'theories of mind', 'theorem proving', 'theologically-inspired approaches']",sanctify them
"Psalm 86:17 Is. 7:14 God will give you a sign. ""Father, within the next 3 days, show me a sign; a token. #SemST",Atheism,AGAINST,Atheism,"['signs', 'spirituality', 'communication']",spirituality
The Best #conspiracy of the world is #Religion. #science #davincisdemons #SemST,Atheism,AGAINST,cloning,"['science', 'research', 'research through design', 'research methodology']",research methodology
American conservatism has everything to do with religion with all the good stuff taking out of it. #SemST,Atheism,AGAINST,Atheism,"['conservative', 'religion']",religion
The #humanist church is the new cloth. #kissTheRing #tcot #SemST,Atheism,AGAINST,cloning,"['church', 'theater', 'theatre', 'theatrical', 'thematic', 'theory', 'theoretical', 'theorem proving', 'theorems', 'theology', 'them']",theoretical
"You stay the same through the ages, Your love never changes...Your love never fails. #SemST",Atheism,AGAINST,cloning,['relationships'],relationships
Just know that you're not an accident and that you're here by HIS divine providence.  #tcot #pjnet #ccot #christian #SemST,Atheism,AGAINST,abortion,"['christian sem', 'divine revelation', 'divide and conquer', 'divisible and conquer']",divine revelation
"I am addicted to your light.  Everywhere I look you are there. I can feel your Halo, I pray you won't fade away.   #SemST",Atheism,AGAINST,nuclear energy,"['h Halo', 'halo', 'honeymoon', 'light', 'lightbulb', 'light intensity', 'light-weight', 'light communication', 'light source', 'light emitting diode', 'light streaming diode']",light emitting diode
FAITH sees beyond the difficulties and counts on God.  -Colon Smith #SemST,Atheism,AGAINST,Atheism,"['faith', 'communication']",faith
Watch @Dame_Lillard bring the Blazers to the playoff #Beast #SemST,Atheism,AGAINST,marijuana legalization,"['post Blazers', 'beast', 'stretch', 'stakeholders', 'stackelberg', 'stigmergy', 'stilmergy']",stigmergy
The Irish national school system is secular under law. We can reaffirm secularism by going through the courts! @HumanismIreland #SemST,Atheism,AGAINST,school uniforms,"['religious education', 'standards for secularism']",religious education
We often talk of unbelief as if it were an affliction to be pitied instead of a crime to be condemned. - Charles Spurgeon #GOD #SemST,Atheism,AGAINST,death penalty,"['unbelief', 'belief']",unbelief
"@dsurman  Jesus is favor of all, that they would believe He died for them. Why try to wage a conflict you will lose? #God #SemST",Atheism,AGAINST,death penalty,"['surman', 'belief', 'believability', 'theory', 'theories of agency', 'theoretical framework']",belief
Currently doing a piece on logical fallacies for my blog @weebly #philosophy #logicism #blog #humanist #SemST,Atheism,AGAINST,death penalty,"['logicism', 'weebly philosophy', 'logic programming', 'logical logic', 'logics for life']",logics for life
"Proud to be #TeamJinnah :) No Bhutto, no Imran's , only Jinnah's Pakistan :) #Inclusive #SemST",Atheism,AGAINST,marijuana legalization,"['jinnah', 'inclusive', 'stst', 'joint initiative']",joint initiative
Great baptism service at #woodgreen very moving stories of people's faith in #rich_lacey #SemST,Atheism,AGAINST,gun control,"['baptism', 'faith', 'rich_lacey Sem', 'rich-lacey sem', 'bdi', 'buchanan', 'bch', 'bachamute', 'bacher', 'bochamute']",baptism
Religious holidays should not be public. #RightsAndRecourse #Transformation #SemST,Atheism,AGAINST,Atheism,"['religion', 'christmastication']",religion
I officiate #humanist & most #nonreligious weddings-starting at $99. Ask me about #student discounts! #216 #celebrant #weddings #SemST,Atheism,AGAINST,marijuana legalization,"['nonreligious weddings', 'weddings', 'computers and society', 'human-computer interaction', 'user studies']",user studies
RT @br_holden: Religions are perfectly happy to peddle an afterlife that doesn't actually exist.  #freethinker #SemST,Atheism,AGAINST,school uniforms,"['religions', 'theory', 'the afterlife', 'theology']",religions
RT @br_holden: Superstition-based thoughts tend to be wasted thoughts.  #freethinker #SemST,Atheism,AGAINST,death penalty,"['superstition', 'sentiment analysis', 'breath analysis', 'brainstorming', 'sentence analysis', 'mental models', 'sketch-based reasoning']",sentence analysis
RT @br_holden: Just say no to superstitious thought in general and religions in particular.  #freethinker #SemST,Atheism,AGAINST,death penalty,"['belief', 'religion', 'believability', 'beligion', 'theory']",belief
RT @br_holden: Atheists have every right to exist in the public sphere.   #freethinker #SemST,Atheism,AGAINST,Atheism,"['atheism', 'public sphere freethinker', 'standards', 'standpoints', 'standstandards']",atheism
"RT @GMHumanistChoir: We're currently looking for new members to join our choir, all welcome, no auditions. #87RT #choir #Manchest... #SemST",Atheism,AGAINST,cloning,"['music', 'choir', 'choreography', 'music composition', 'music education']",choreography
@Rowdman53 Atheist are offended with Christian Symbols  + Only when when forced where they don't belong. #SemST,Atheism,AGAINST,Atheism,"['atheism', 'symbols', 'stereotypes', 'anti-materiality', 'antimateriality']",atheism
"Pushing beyond the absurd The light in darkened minds Railing against ancient words Seeking, honest, open it is truth we find. #SemST",Atheism,AGAINST,marijuana legalization,"['semantic web', 'web.']",web.
Your word has given me life -Ps. 119:49-50 #SemST,Atheism,AGAINST,Atheism,['spirituality'],spirituality
God gives us the right to do what we want; as long as we understand the outcomes of our actions. #spiritual #SemST,Atheism,AGAINST,Atheism,['spirituality'],spirituality
The deeper I go with in- The deeper~> the silence- the peace- the healing- the clarity- the vision- the belief- The deeper my  #SemST,Atheism,AGAINST,nuclear energy,"['sem', 'sustainability', 'semantic web']",sustainability
RT @faithsns716: Psalm103:3-Who forgives all your iniquities; who heals all your diseases #SemST,Atheism,AGAINST,marijuana legalization,"['faith', 'psalm', 'religion', 'relationality', 'religibility', 'reliability', 'relativity', 'relativism', 'reliance', 'relaxation', 'relocation', 'relation', 'blessing', 'reliquity']",relaxation
"James 1:14 (#KJV) But every man is TEMPTED, when he is drawn away of his own LUST, and enticed.  #God #Lord #Christ #Holy #Spirit #SemST",Atheism,AGAINST,nuclear energy,"['tournement', 'ethics', 'theory', 'theories of mind', 'theoretical foundations of agency', 'theorem proving', 'theologically-inspired approaches']",theoretical foundations of agency
"We are human. It is human nature to eat and drink ourselves destitute, fuck each other raw, and kill each other. #SemST",Atheism,AGAINST,cloning,"['human nature', 'food', 'sex', 'lust']",human nature
"RT @ACatholicPrayer: Holy Trinity, one God, Have #mercy on us. #Catholic #SemST",Atheism,AGAINST,abortion,"['catholic', 'prayer', 'spirituality', 'cscw', 'cdi', 'cld', 'crd', 'cidc', 'cfi', 'cst', 'c.', 'c..', 'c #', 'c']",catholic
@LadyLydiaD When you become a Father you realize that you are not the most important person in the room anymore.... Your child is. #SemST,Atheism,AGAINST,abortion,"['Father', 'mother', 'motherhood', 'mothership', 'motherly']",motherhood
Is near where we will be told not 2 preach in The Name Acts 4:12 There is salvation in no 1 else...NLT #DCM2015 but #SemST,Atheism,AGAINST,nuclear energy,"['church', 'propagation', 'theory', 'theology', 'thematic models', 'theological models', 'critical design', 'theoretical models', 'philosophy', 'theologically-inspired approaches']",critical design
What really builds a relationship is when we relate to what we don't understand about God.  #Emunah #SemST,Atheism,AGAINST,cloning,"['relationships', 'communication']",relationships
I am human. I look forward to the extinction of humanity with eager anticipation. We deserve nothing less. #SemST,Atheism,AGAINST,cloning,"['humanoid', 'future']",humanoid
Moral relativism does not feed into democracy but rather it feeds into chaos #Catholic #Christian #liberal #progressive #secularist #SemST,Atheism,AGAINST,nuclear energy,"['oral relativism', 'religion', 'relationality', 'democracy', 'religibility', 'reliability', 'relativism', 'social choice theory']",relativism
By faith we receive what Christ did for us and we repent to show that we have received what He did. #repentance #atonement #SemST,Atheism,AGAINST,nuclear energy,"['reaporation atonement', 'faithfulness', 'revelation atonement']",reaporation atonement
Let Your fear come upon every soul in my city -Acts 2:43 #SemST,Atheism,AGAINST,gun control,"['security', 'privacy']",security
"Absolutely fucking sick & tired of the religious and their ""We're persecuted"" bollocks! So fucking what? Pissoff! #SemST",Atheism,FAVOR,marijuana legalization,"['religious', 'religion', 'relationality', 'relay', 'relativism', 'reliability', 'relativity', 'reliance', 'relocation', 'relation', 'relaxation', 'cscw']",relaxation
In other related news. Boko Haram has killed over 200 people in the last 48hrs. #SemST,Atheism,NONE,cloning,"['boko Haram', 'terrorism', 'cyber-physical systems', 'cyberspace', 'cyonsecurity', 'cyborg', 'cyogenetics', 'cybergis', 'cybertemography', 'cyberman', 'cybernsecurity', 'mesh', 'cyb']",cyogenetics
Join me on #Periscope M-F @ 8am! #Entrepreneurship #Productivity #ChristianEntrepreneurs #SemST,Atheism,AGAINST,minimum wage,"['entrepreneurship', 'productivity', 'entrepreneurial design', 'entertainment', 'creativity support tools', 'entitativity', 'creative process', 'creativism']",productivity
Praise and thank God for everything in your life today. #grateful #SemST,Atheism,AGAINST,cloning,"['gratifications', 'graceful', 'grained', 'granted', 'blessing', 'grifting', 'grasping', 'gifting', 'gaining', 'grieving']",gratifications
"If Jesus is present, it is impossible for your situation/environment to remain a desolate place! #Joy #Victory #NewThings #SonTalk #SemST",Atheism,AGAINST,nuclear energy,"['disaster', 'place']",disaster
"Heaven and earth will pass away, but My words will not pass away. Matthew 24:35 #Tworship #SemST",Atheism,AGAINST,marijuana legalization,"['heaven and earth', 'passation', 'my words', 'theory', 'theorem proving', 'theologically-inspired approaches']",passation
#KCA #VoteJKT48ID premierdigi: Are Facebook and Twitter good places to defend your faith? How do you communicate?   #christianity #d... #SemST,Atheism,AGAINST,cloning,"['christianity', 'communication', 'communication technology', 'communication design', 'communication protocols', 'communication languages', 'communication tools', 'communication systems', 'communication issues', 'communication strategies', 'communication networks', 'communication models', 'communication techniques', 'communication metaphors', 'communication styles']",communication techniques
"@CrownFmradio899 however impossible it may sound, I really would have loved to be like the lord #HaveYourSay #SemST",Atheism,AGAINST,Joe Biden,"['radio', 'music', 'dance', 'diy', 'drama', 'dime', 'dimmersion', 'dementia', 'dram', 'dynamic time warping', 'distant time warring', 'dynamics', 'dvb', 'd']",dementia
Imagine a species that had split the atom and ventured into space yet most still believe a magic man created everything with magic #SemST,Atheism,FAVOR,stay at home orders,"['magic', 'space', 'magic-manhattan']",magic-manhattan
"Job said ""The thing I greatly feared has come upon me and that which I was afraid of has happened to me"" Job 3:25  fear opens doors  #SemST",Atheism,AGAINST,death penalty,"['job', 'belief', 'horror', 'believability', 'belonging', 'beligion', 'beliquity', 'belience', 'beloved', 'belabel', 'belab']",belief
"Jesus, you are my helper. Help me to rest and trust in you and your finished work at the Cross. Amen. #SemST",Atheism,AGAINST,nuclear energy,['reliability'],reliability
"The Lord is pleased w/every effort,even tiny,daily ones in which we strive to be more like Him.~Ezra Taft Benson  #lds #inspiration #SemST",Atheism,AGAINST,cloning,"['design', 'human factors', 'human-computer interaction', 'human values', 'human computer interaction', 'user experience', 'user centered design']",human factors
I don't believe in the hereafter.  I believe in the here and now. #SemST,Atheism,FAVOR,death penalty,"['belief', 'the hereafter', 'the here and now', 'theory', 'theories of practice']",belief
"If you want to live as a healer, you must be willing to change places with those who are hurting. #God #SemST",Atheism,AGAINST,nuclear energy,"['healing', 'disaster', 'disrupted environment', 'dissemination', 'disruption', 'displaced people', 'disparity', 'disposition', 'disorder', 'disdisaster']",disposition
"Heb 10:12  this man, after he had offered one sacrifice for sins for ever, sat down on the right hand of God; #bible #SemST",Atheism,AGAINST,nuclear energy,"['helper', 'sacrifice', 'sacrips', 'buchannes', 'bdi', 'bukuk', 'bakkuk', 'hci', 'birkuk', 'cai', 'bkukukukum', 'bikukum']",buchannes
Sometimes it's the broken heart that finds the truest path to love. #SemST,Atheism,NONE,marijuana legalization,"['broken heart', 'truly truest path', 'sem', 'stretch', 'stigma', 'structure', 'stigmergy', 'stochastic model', 'stickness', 'stuckness', 'taint', 'stutter', 'stumble', 'st']",stigmergy
Religious moderation is the product of secular knowledge and scriptural ignorance. - @SamHarrisOrg  #SemST,Atheism,AGAINST,nuclear energy,"['moderation', 'scriptural ignorance', 'religion', 'relationality', 'religiosity', 'relativism', 'religious observance']",relativism
"Remember, #God has it all worked out. #SemST",Atheism,AGAINST,nuclear energy,"['sem', 'st', 'stst', 'sct', 'sst', 'hpc', 'hcid', 'hci', 'hccid', 'sccid']",sccid
What we are is what we define the world to be. #existentialism #spirituality #SemST,Atheism,AGAINST,Atheism,"['existentialism', 'spirituality', 'design']",spirituality
I'm making it happen tho  S/O to GOD . #Patience #Priorities #SemST,Atheism,AGAINST,marijuana legalization,"['priorities', 'stretch', 'structure', 'stability', 'stakeholders', 'stackelberg', 'stigma', 'stigmergy', 'stmf', 'stst', 'stl', 'stp', 'stt']",stigmergy
Yeah I think maybe words just stopped mattering #SemST,Atheism,NONE,nuclear energy,"['sem', 'structure', 'text', 'semantic', 'svm', 'svd', 'sms', 'sparql', 'srt', 'sct', 'sss', 'smm', 'sft', 'sst', 'sme', 'sps']",structure
"Keep flowinz az da windz~ blend, bend and never break! #SemST",Atheism,NONE,nuclear energy,"['flow', 'blend', 'stretch', 'structure']",structure
May the Gods grant me many more freelance gigs in PDX #intention #SemST,Atheism,AGAINST,minimum wage,"['job', 'project']",job
"@vicgreenaway so, why doesn't a hot air balloon pilot look down to horizon as he rises, rather than horizon being ALWAYS eye level? #SemST",Atheism,NONE,abortion,"['hot air balloon pilot', 'horizon', 'horizontal', 'stretch', 'stochastic']",horizontal
@narendramodi @PMOIndia y politicians in d office can offer iftikar parties.. It is waste of tax payer money. #SemST,Atheism,NONE,death penalty,['india'],india
he better chill with them retweets #SemST,Atheism,NONE,Donald Trump,"['retweet', 'sem', 'stretch', 'sms', 'svm', 'smm', 'svd', 'sme', 'srt', 'sct', 'sst', 'sss', 'sft', 'sbt', 'sns', 'smp', 's']",retweet
"I want to give the world a hug. A huge, huge hug. #human #4thofJuly #everyone #planetearth #SemST",Atheism,NONE,school uniforms,"['hug', 'world wide web', 'social computing', 'social media', 'social software']",social computing
"My son, be wise, and make my heart glad, that I may answer him that reproacheth me. Proverbs 27:11 #SemST",Atheism,AGAINST,gun control,"['ethics', 'theory', 'theorem proving', 'theoretical foundations of agency', 'thematic foundations of agents and mas']",thematic foundations of agents and mas
Had a great time @ worship rehearsal.Cant wait till Sunday ! #bridgechurch2015 #bridgelaunchteam #Willacycounty #weloveyou #SemST,Atheism,AGAINST,gun control,"['church', 'bridgelaunchteam', 'team', 'musical instrument', 'musica', 'musicianship', 'musician', 'musix', 'musique', 'musikology', 'musico', 'mapping', 't']",musical instrument
Every religion is good that teaches man to be good and I know of none that instructs him to be bad. ~Thomas Paine #SemST,Atheism,AGAINST,Atheism,"['religion', 'good', 'bad', 'theory']",religion
@godless_mom I like how Jesus is reduced to appearing on toast and photoshopped images and they still praise it. #SemST,Atheism,FAVOR,school uniforms,"['image', 'posture']",posture
@godless_mom @stereotypemepls @FlyPastafarian how come u NEVER talk about the GUY who raped his DAUGHTER for 18 years (por exemplo) #SemST,Atheism,NONE,marijuana legalization,"['stereotypemepls', 'proprio Semst', 'stereotypes', 'stigmergy', 'stigma', 'stackelberg', 'structure', 'stresses', 'strackelberg']",stigmergy
Life's just like a test to sort out the best from the unfit rest. #adversity #evolution #Heaven #Nirvana #Valhalla #SemST,Atheism,NONE,face masks,"['unfit rest', 'unfit', 'uncomfortable rest', 'wellbeing', 'well being', 'well-being', 'unobtrusive rest', 'self-management', 'selfishness', 'self healing', 'self organizing', 'self management']",selfishness
Hindus pay for Muslim subsidy for HAJ..but need security from Muslims to visit temples-Amarnath yatra..   #HindusUnderAttack #SemST,Atheism,NONE,nuclear energy,"['hindus', 'subsidies', 'hajj', 'hijj', 'shamsulam', 'hadiwadi']",subsidies
The greatest tragedy in life is the prayers that go unanswered because they go unasked. #ghlondon #SemST,Atheism,AGAINST,gun control,"['ghlondon', 'sct', 'ghlc', 'gqc', 'cscw', 'gmmc', 'srt', 'gccc', 'grasp', 'gcdc', 'hcid', 'gcid']",hcid
@FaithMattersUK we could all just not use religion and beliefs as an excuse to murder and hate? #don'tmurder #SemST,Atheism,FAVOR,death penalty,"['faith', 'beliefs', 'hate']",beliefs
We become what we worship. So be intentional in choosing what you worship for that is what you will become. #worship #SemST,Atheism,AGAINST,nuclear energy,"['worship', 'design']",design
"Steppin' out in faith and love.....have a safe and pleasant day, tweeple!  #blessed #love #happyday #SemST",Atheism,AGAINST,marijuana legalization,"['faith', 'love', 'tweeple', 'stretch', 'stigma', 'stigmergy', 'stmf', 'ststmfs', 'stp', 'stpmfs', 'sstm', 'stt', 'sth']",stigmergy
"Isaiah 43:15 I am the Lord, your Holy One, the Creator of Israel, your King. #God #SemST",Atheism,AGAINST,cloning,"['ethics', 'theory', 'theology']",theology
"Come to me, all you who are weary and burdened, and I will give you rest. - Matt 11:28 #Rest #Peace #Scripture #Bible #SemST",Atheism,AGAINST,marijuana legalization,"['blesson', 'rest', 'relief', 'blessed', 'burden', 'breath', 'relaxation', 'reliability', 'reliance', 'relocation', 'religion', 'relational', 'religibility', 'relativeness']",relaxation
From the end of the earth I call to You when my heart is faint; Lead me to the rock that is higher than I Psalm 61:2 NASB #HeIsHigher #SemST,Atheism,AGAINST,marijuana legalization,['highways'],highways
"(2/2) the Father's active goodness and unrestricted love. - Ruthless Trust by Manning.... Lord, may I forever trust your love for me. #SemST",Atheism,AGAINST,stay at home orders,"['trust', 'reliability', 'trustworthiness', 'trust in the Almighty', 'trust of the Almighty']",trust of the Almighty
Best feeling is when you think you can't do it but you did! #Will #SemST,Atheism,NONE,Feminist Movement,['sexuality'],sexuality
"Bind up the wounds of those whose cry comes to You, O God, rising like a tide, whose hope is in You alone. #grace #SemST",Atheism,AGAINST,Atheism,['religion'],religion
"My Jesus, I wish to do nothing but Thy most holy will. #Saint Philip Neri #Catholic #SemST",Atheism,AGAINST,nuclear energy,"['holy will', 'structure', 'cscw', 'citation', 'crowdsourcing', 'crisis informatics', 'civic informatics']",citation
@BJPScams @ANI_news Elections were nearing in Bihar / UP / TN so he may be so sickularism sorry #SemST,Atheism,NONE,Bernie Sanders,"['polling', 'bhatthattaryya', 'e-government', 'ej-government']",bhatthattaryya
Jer 20:11 But the #LORD is with me like a mighty warrior; so my persecutors will stumble and not prevail > #God #Love #SemST,Atheism,AGAINST,Atheism,"['religion', 'theory', 'theology']",religion
"By accepting religion, you are pulling a big fuzz ball of superstition into your brain.  #freethinker #SemST",Atheism,FAVOR,death penalty,"['religion', 'belief', 'believability', 'theory']",belief
"I love God  but ""We get raped in life by demons and then judged for being negative and complaining"" by Christians. #God #SemST",Atheism,AGAINST,cloning,"['demonstrations', 'religion', 'human-computer interaction', 'human factors']",human factors
"As opposed to how the media portrays him,the pope is a religious wacko just like any of them and still supports bigotry & misogyny #SemST",Atheism,FAVOR,Feminist Movement,"['papis', 'bias', 'feminism', 'feminist hci', 'feminists', 'social issues', 'social computing', 'social justice', 'social science', 'social engineering', 'social media', 'social norms', 'social software engineering', 'political science']",feminist hci
"One Nation on their knees, with blowjobs and semen for all. Heavens to Betsy! #ReligionIsBullshit  #fyilive #SemST",Atheism,FAVOR,nuclear energy,"['blowjobs', 'semen', 'sperm', 'bioinformatics', 'biosignatures', 'bias', 'bribery', 'bipartite', 'budgets', 'bimbo', 'bobbs', 'bomberman']",biosignatures
"I hope for a time when schools teach 'ethics' instead of 'religion'. Sure - inc faiths bt in a sociocultl, geopoliticl context #SemST",Atheism,FAVOR,school closures,"['ethics', 'religion', 'education', 'relationality', 'relay', 'relativism', 'religious beliefs', 'relativity', 'reliki', 'relabigibility', 'relibration', 'reliy', 'relimacy']",education
What other nation is so great as to have their gods near them the way the Lord our God is near us whenever we pray to him? #Eritrea #SemST,Atheism,AGAINST,Atheism,['religion'],religion
"We have to #Pray with our eyes on #God, not on the difficulties. request #Godanswersprayers #SemST",Atheism,AGAINST,stay at home orders,"['prayers', 'communication']",prayers
"Enough sneaking around, bringing in religious groups into #abed public #schools to access our kids in secrecy. #parents #SexED #SemST",Atheism,FAVOR,school uniforms,"['public school', 'privacy', 'accessibility', 'family']",public school
@Maisie_Williams everyone feels that way at times. Not just women #SemST,Atheism,NONE,Feminist Movement,"['women', 'gender', 'feminist hci', 'women in computing']",feminist hci
"Choose Him who died so that you may live, over him who lives so that you may die.  - WTL Apologetics  #DeadToSin #AliveInChrist #SemST",Atheism,AGAINST,death penalty,"['death', 'theory', 'theology', 'theoretical models', 'theorem proving', 'thematic models', 'philosophy']",death
@aigkenham @ATHE1STP0WER compromise your intentional ignorance all the way to freedom from religion. The best plan ever! #SemST,Atheism,AGAINST,death penalty,"['beliefs', 'theory', 'theories of practice', 'theoretical models of agency', 'theorem proving', 'thematic models of practice']",beliefs
"With #SCOTUS done, It's time for @boyscouts to stop their bigoted practice of rejecting #LGBT scouts at age 18.  #EqualityForAll #SemST",Atheism,NONE,abortion,"['boy scout', 'discrimination']",discrimination
